zip_code,Population,Percent_Pop_change,#Household,#Families,Avg_HouHol_size,House_Hold_with_child,Families_below_pov,Families_below_pov_with_child,#Housing,Avg_Housing_value,%Pop+16,race_white,race_black,race_indian,race_Asian,race_Hawaian,eth_Hispanic,eth_non-hispanic,sex_male,sex_female,HHincome_all,HHincome_white,HHincome_black,HHincome_indian,HHincome_Asian,HHincome_Hawaian,HHincome_Hispanic,HHincome_non-Hispanic,edu_Associate,edu_Bachelor,edu_Maters,edu_professional,edu_Doctorate,Children(0-14),Youth (15-24),Adults (25-64),Seniors (65+),race_two+,HHincome_two+,edu_uptoCollege level,Zip,Sentiment
84006,891.0,8.39,305.0,239.0,2.92,0.419672131147541,0.0167364016736401,0.00836820083682,330.0,528574.0,2.25,0.8933782267115601,0.0044893378226711,0.0101010101010101,0.0033670033670033,0.0224466891133557,114.0,777.0,451.0,440.0,102083.0,104167.0,14999.0,112500.0,42500.0,62500.0,45500.0,108511.0,0.1492281303602058,0.2041166380789022,0.0583190394511149,0.0051457975986277,0.0017152658662092,0.2087542087542087,0.1369248035914702,0.531986531986532,0.040778151889263,0.0662177328843995,74875.0,0.58147512864494,84006,0.15202996134315905
84020,55868.0,31.31,15366.0,12605.0,3.36,0.51744110373552,0.0400634668782229,0.0292740975803252,15984.0,738132.0,2.67,0.8820075893176774,0.0151249373523304,0.0064437602921171,0.0404882938354693,0.0047612228825087,4297.0,51571.0,29372.0,26496.0,135138.0,137862.0,32083.0,100000.0,118409.0,73077.0,105714.0,137135.0,0.0710298033152967,0.3044175327092101,0.1298348077528701,0.0397950127401299,0.0182369950470955,0.2219159447268561,0.1528782129304789,0.5331495668361137,0.0306854251688503,0.0511741963198969,94195.0,0.4366858484353975,84020,0.4390940963624164
84044,29977.0,14.15,8778.0,7095.0,3.41,0.5287081339712919,0.0755461592670895,0.0625792811839323,9190.0,351594.0,4.49,0.7314941455115589,0.0128431797711578,0.0119758481502485,0.0134102812155986,0.0255195649998332,8257.0,21720.0,15093.0,14884.0,77764.0,80055.0,40357.0,102315.0,90625.0,109091.0,71496.0,79909.0,0.1026924788607031,0.0933466844681798,0.0246995994659546,0.0031152647975077,0.0022808188696039,0.2556626747172832,0.1446775861493812,0.5123261166894619,0.0291112074812912,0.2047569803516029,66772.5,0.7738651535380507,84044,0.27505744777998364
84047,35192.0,19.17,14340.0,8709.0,2.45,0.3149930264993026,0.0792283844299001,0.0684349523481456,15250.0,442419.0,3.49,0.7480109115708116,0.0233575812684701,0.0129859058877017,0.0362298249602182,0.0083825869515799,8618.0,26574.0,17475.0,17717.0,71690.0,74284.0,51364.0,85417.0,96806.0,78947.0,57058.0,74932.0,0.0938707185166108,0.2434543737659885,0.0876899304661344,0.0167825564426131,0.0041205253669842,0.2049897704023641,0.1329847692657422,0.5441009320300069,0.0393081761006289,0.1710331893612184,58554.0,0.5540818954416689,84047,0.6350267599469888
84065,46735.0,32.92,12689.0,11158.0,3.68,0.5609583103475451,0.0295751926868614,0.0256318336619465,13009.0,590117.0,2.29,0.920659034984487,0.0056274740558467,0.0034235583609714,0.01737455868193,0.0072964587568203,3021.0,43714.0,23305.0,23430.0,123046.0,123909.0,62500.0,67308.0,117500.0,69531.0,92784.0,124131.0,0.1415007112375533,0.251778093883357,0.0843172119487909,0.0234708392603129,0.0072190611664295,0.2430084519097036,0.1553011661495667,0.5022360115545095,0.0331514567954067,0.0456189151599443,126715.5,0.4917140825035562,84065,0.562121582799241
84070,29995.0,25.23,10920.0,7626.0,2.72,0.3772893772893773,0.050616312614739,0.0392079727248885,11527.0,435629.0,4.29,0.8139356559426572,0.0114685780963493,0.0116686114352392,0.0330721786964494,0.0132355392565427,5027.0,24968.0,14720.0,15275.0,84384.0,86751.0,42895.0,82143.0,84110.0,84868.0,59659.0,87261.0,0.0918341896543123,0.2405846261285978,0.0728787349728138,0.0096772584426597,0.0071831196687783,0.2008668111351892,0.130788464744124,0.5336222703783964,0.0449074845807634,0.1166194365727621,69620.5,0.5778420711328378,84070,0.42542437564721364
84081,51737.0,25.28,13375.0,11876.0,3.85,0.6705046728971963,0.0259346581340518,0.0192825867295385,14195.0,455073.0,3.26,0.7661441521541643,0.014709009026422,0.0084272377602102,0.0376712990702978,0.0177822448151226,12324.0,39413.0,25818.0,25919.0,109409.0,112460.0,49318.0,74375.0,162500.0,83214.0,82210.0,116340.0,0.1207511540075535,0.2041194572667506,0.0606028815218911,0.0041264512519233,0.0048608196950622,0.2974080445329261,0.1498733981483271,0.5002029495332161,0.0175052025951768,0.1552660571737827,99539.5,0.6055392362568192,84081,0.6350267599469888
84084,32832.0,8.96,10319.0,8041.0,3.16,0.4540168620990406,0.0553413754508145,0.041910210172864,10662.0,404541.0,3.65,0.7591983430799221,0.0148026315789473,0.0083455165692007,0.0513523391812865,0.0232699805068226,7197.0,25635.0,16103.0,16729.0,87413.0,90305.0,43036.0,89167.0,109856.0,66964.0,63861.0,91856.0,0.1135995425521776,0.1933670065758124,0.0474602115696178,0.0082912417802344,0.0043838749642618,0.2164351851851851,0.1443713450292397,0.5229653996101364,0.0387426900584795,0.1430311890838206,57461.5,0.6328981225578958,84084,0.6532530542339258
84088,39060.0,10.87,11806.0,9590.0,3.3,0.5072844316449263,0.0517205422314911,0.0347236704900938,12260.0,452719.0,4.14,0.7764976958525346,0.0105734767025089,0.0089605734767025,0.0379672299027137,0.0182027649769585,8638.0,30422.0,19464.0,19596.0,89331.0,93086.0,32727.0,65625.0,75625.0,88043.0,70910.0,93050.0,0.1070090957731407,0.2056632506070708,0.0542453800880767,0.0092192451743013,0.0064617030909165,0.2251152073732719,0.1528417818740399,0.5234254992319508,0.0328725038402457,0.1477982590885816,69385.0,0.6174013252664938,84088,0.470990111364556
84092,31117.0,6.3,9721.0,8387.0,3.19,0.4389466104310256,0.0324311434362704,0.0169309645880529,10359.0,711731.0,2.8,0.902143522833178,0.0089661599768615,0.0031815406369508,0.0420991740849053,0.0072629109489989,1322.0,29795.0,15551.0,15566.0,137115.0,138768.0,34286.0,80000.0,156696.0,61458.0,124419.0,137540.0,0.0865438302624232,0.3304020100502512,0.1290247533966127,0.0404336497301321,0.0240089335566722,0.1616801105505029,0.1476363402641642,0.5160523186682521,0.0582104101723602,0.0363466915191053,103300.0,0.3895868230039084,84092,0.47554668493629026
84093,23531.0,2.78,7869.0,6621.0,2.98,0.3883593849281992,0.0344358858178522,0.0167648391481649,8077.0,632632.0,2.46,0.9014916493136712,0.0078194721856274,0.0036972504355955,0.0407122519229952,0.0059920955335514,1200.0,22331.0,11680.0,11851.0,121726.0,122736.0,81250.0,57500.0,104779.0,81250.0,107627.0,122606.0,0.0862430376714379,0.3398814158232017,0.1242738216446068,0.039947295921423,0.0172486075342875,0.158939271599167,0.1314861246865836,0.5084356805915601,0.067046307707563,0.0402872806085589,131944.5,0.3924058214050428,84093,0.5347821413688354
84094,29582.0,6.07,9862.0,7665.0,2.99,0.4273980936929629,0.0463144161774298,0.0260926288323548,10160.0,471636.0,2.66,0.8669461158812791,0.0060509769454397,0.0066256507335541,0.0481373808396998,0.0068622811168954,2749.0,26833.0,14680.0,14902.0,102336.0,103245.0,56944.0,54545.0,115132.0,127778.0,88937.0,103134.0,0.0957797978772027,0.2550403737748209,0.098877659844599,0.0111726169315931,0.0107663399522624,0.1966736528970319,0.1376850787641133,0.5296464065986073,0.0453316205800824,0.0653775944831316,83951.0,0.5283632116195216,84094,0.44820724350588487
84095,41508.0,36.1,12717.0,10409.0,3.26,0.4390972713690336,0.0246901719665673,0.0085502930156595,13158.0,647514.0,2.38,0.8847692011178568,0.0120940541582345,0.0028669172207767,0.0520863448010022,0.0073961645947769,2545.0,38963.0,20625.0,20883.0,117209.0,117986.0,37188.0,88889.0,143506.0,93452.0,134549.0,116292.0,0.1097326123990815,0.2830901414710021,0.1057699429671876,0.0237389822976075,0.0179245981779127,0.1975281873373807,0.151946612701166,0.5052279078731811,0.0484324306960907,0.0407873181073527,81870.5,0.4597437226872083,84095,0.6851490692360654
84096,55096.0,64.82,14547.0,13003.0,3.79,0.6797277789234893,0.0172267938168115,0.0143043912943166,15254.0,545656.0,2.71,0.9010454479454044,0.0077682590387686,0.0030855234499782,0.0272252069115725,0.0076049077972992,4417.0,50679.0,27585.0,27511.0,118370.0,119987.0,32500.0,122727.0,130743.0,93056.0,97149.0,119196.0,0.1172258879685525,0.2847465955355889,0.0853923908465534,0.0144251017829566,0.0054050259722027,0.3380281690140845,0.1448381007695658,0.4696892696384492,0.0158148201926334,0.0532706548569769,67452.0,0.4928049978941457,84096,0.5165558470818985
84101,7187.0,53.44,3996.0,990.0,1.56,0.095095095095095,0.1686868686868687,0.1161616161616161,4439.0,731393.0,5.05,0.7706970919716154,0.0560734659802421,0.0224015583692778,0.0570474467789063,0.0089049673020731,1120.0,6067.0,4405.0,2782.0,53926.0,53649.0,15849.0,81944.0,82670.0,70313.0,40969.0,55722.0,0.0718625238673841,0.3237285193542787,0.1281027599375108,0.0348897760805415,0.012671411213331,0.1079727285376374,0.0904410741616808,0.6752469737025184,0.0421130745327211,0.084875469597885,54076.5,0.4287450095469536,84101,0.8446291442467639
84102,18873.0,9.28,9931.0,3107.0,1.84,0.1262712717752492,0.0769230769230769,0.0341165111039588,10784.0,606732.0,2.93,0.7957399459545382,0.0205054840247973,0.0137233084300323,0.106925237111217,0.0050866316960737,1748.0,17125.0,10126.0,8747.0,56189.0,55716.0,32727.0,55921.0,65685.0,89844.0,42115.0,57966.0,0.0626190127435183,0.3401201113226893,0.1587080708949758,0.0565402079976563,0.0427713490552219,0.1015736766809728,0.1749589360462035,0.6105017750225189,0.0376552040834348,0.0580193927833412,51704.0,0.3392412479859382,84102,0.7124885106664709
84103,23781.0,9.31,11758.0,5311.0,1.98,0.1804728695356353,0.0557333835435887,0.041611749199774,13009.0,801368.0,3.17,0.8492073504057861,0.0250620243051175,0.0068962617215424,0.0476851267818847,0.0075690677431563,1931.0,21850.0,11829.0,11952.0,81488.0,87791.0,32203.0,57639.0,73652.0,36705.0,57075.0,83280.0,0.0734195562493031,0.325231352436169,0.1742111718140261,0.0739212844241275,0.054576875905898,0.1267398343215171,0.1189605146966065,0.574281989823809,0.0600058870526891,0.0635801690425129,40683.5,0.2986397591704761,84103,0.5666781563709751
84104,26576.0,8.41,7569.0,5413.0,3.47,0.4787950852160126,0.14391280251247,0.114723813042675,7986.0,423960.0,5.8,0.4954470198675497,0.0472983142685129,0.0169701986754966,0.0381923540036122,0.0610325105358217,15126.0,11450.0,13749.0,12827.0,59594.0,63680.0,29432.0,70000.0,68056.0,90407.0,51930.0,68484.0,0.0589567734222613,0.1162146857106902,0.04146479582206,0.008557226451897,0.0080538601900207,0.2562462372065021,0.1457329921733895,0.5127934978928357,0.0284090909090909,0.3410596026490066,52604.0,0.7667526584030705,84104,0.6669227749491284
84105,22723.0,2.5,9994.0,5301.0,2.23,0.2618571142685611,0.0260328239954725,0.0173552159969817,10615.0,617577.0,1.82,0.8831580337103375,0.0145227302732913,0.0066452493068696,0.032258064516129,0.0073493816837565,1583.0,21140.0,11185.0,11538.0,100421.0,102421.0,54167.0,97794.0,117045.0,66667.0,63231.0,104351.0,0.0520910209102091,0.3334563345633456,0.1920049200492005,0.063960639606396,0.0493234932349323,0.1563613959424371,0.1280640760462967,0.5849579720987546,0.0435388519708371,0.0560665405096158,49115.0,0.3091635916359163,84105,0.3570757720712
84106,35716.0,8.25,15206.0,8604.0,2.32,0.2806129159542286,0.055904230590423,0.0384704788470478,16179.0,504893.0,2.46,0.8311961025870758,0.0219789450106394,0.0101355134953522,0.0468417515959233,0.0067756747676111,3963.0,31753.0,17464.0,18252.0,84410.0,86588.0,52143.0,72500.0,41273.0,77679.0,78052.0,84913.0,0.0827297601802671,0.3089087397392564,0.1320215676806695,0.0350474810880412,0.0227748269756961,0.1899148840855639,0.1142625153992608,0.5523574868406317,0.0478217045581812,0.0830720125433979,83829.5,0.4185176243360695,84106,0.753497672812079
84107,34940.0,8.33,14924.0,8841.0,2.33,0.2984454569820423,0.0782716887229951,0.0515778758059043,15908.0,482644.0,3.94,0.7813394390383515,0.040383514596451,0.0176874642243846,0.0437321121923297,0.0077275329135661,5287.0,29653.0,16946.0,17994.0,66001.0,66667.0,46605.0,61429.0,88039.0,54167.0,56337.0,67570.0,0.087860834488844,0.2151350897096516,0.0857178873061893,0.0155888902895079,0.0112189587797806,0.1929307384087006,0.1259301659988551,0.5362335432169434,0.0483018507918336,0.109129937034917,58816.5,0.5844783394260263,84107,0.44365066993415064
84108,21675.0,4.52,8436.0,5906.0,2.56,0.329302987197724,0.0751777853030816,0.0457162207924145,9006.0,787616.0,3.19,0.8518569780853518,0.0090888119953863,0.0036908881199538,0.0911649365628604,0.0033679354094579,881.0,20794.0,10718.0,10957.0,116937.0,125525.0,75000.0,75000.0,49737.0,46786.0,82440.0,118220.0,0.0541073980807187,0.3474443612604642,0.2039066222010481,0.0901789968011978,0.0866398965493772,0.1964936562860438,0.1256286043829296,0.5036216839677047,0.0580853517877739,0.0408304498269896,71212.0,0.2177227251071939,84108,0.8400725706750297
84109,24822.0,3.0,9307.0,6506.0,2.65,0.3313634898463522,0.0316630802336304,0.0119889332923455,9953.0,693654.0,2.26,0.8910643783740231,0.0098299895254209,0.0059221658206429,0.0462492949802594,0.0055595842397872,1147.0,23675.0,12135.0,12687.0,112346.0,114070.0,106250.0,92105.0,107622.0,77083.0,86813.0,113865.0,0.0525521166018233,0.3761105626850938,0.1628825271470878,0.0555136170954067,0.0382091632309389,0.1756506325034244,0.1305696559503666,0.5184110869390057,0.0584562082024011,0.0413745870598662,88430.0,0.3147320132396493,84109,0.5347821413688354
84111,12530.0,20.31,7038.0,2111.0,1.73,0.1452117078715544,0.0980577925153955,0.0516342965419232,7700.0,573375.0,2.85,0.7417398244213886,0.0405426975259377,0.0217877094972067,0.0596967278531524,0.0106145251396648,2445.0,10085.0,6635.0,5895.0,50335.0,49734.0,44130.0,64628.0,94583.0,75000.0,40100.0,52631.0,0.0716857263871241,0.2707539178314274,0.1199703515459551,0.0410842863193562,0.0242481999152901,0.139584996009577,0.1067039106145251,0.6063846767757383,0.0491088055333865,0.1256185155626496,61657.5,0.4722575180008471,84111,0.3525191984994658
84112,131.0,11.97,23.0,4.0,2.78,0.0869565217391304,0.0,0.0,24.0,0.0,5.71,0.5877862595419847,0.0381679389312977,0.0,0.2824427480916031,0.0,7.0,124.0,73.0,58.0,22000.0,37500.0,14999.0,20000.0,14999.0,0.0,20000.0,23333.0,0.0294117647058823,0.2647058823529412,0.1470588235294117,0.0294117647058823,0.088235294117647,0.0229007633587786,0.7175572519083969,0.2519083969465648,0.0025445292620865,0.0916030534351145,35000.0,0.4411764705882353,84112,0.7170450842382051
84113,2364.0,11.61,426.0,84.0,2.8,0.096244131455399,0.0357142857142857,0.0238095238095238,443.0,945833.0,5.28,0.5867174280879864,0.0368020304568527,0.0042301184433164,0.2817258883248731,0.0025380710659898,129.0,2235.0,1251.0,1113.0,25536.0,36224.0,36875.0,150000.0,14999.0,20000.0,23333.0,25943.0,0.0285714285714285,0.2857142857142857,0.1294117647058823,0.026890756302521,0.0840336134453781,0.049492385786802,0.6988155668358714,0.2445008460236886,0.0023970671178793,0.0879864636209813,27222.0,0.4453781512605042,84113,0.7170450842382051
84115,27642.0,12.68,11637.0,5948.0,2.35,0.2893357394517487,0.1407195696032279,0.1227303295225285,12392.0,424237.0,3.99,0.6201070834237754,0.063635048115187,0.0265537949497142,0.0735836770132407,0.0116489400188119,8310.0,19332.0,14298.0,13344.0,55112.0,58877.0,35797.0,44643.0,34936.0,39318.0,56501.0,54584.0,0.0664688427299703,0.1776099271648233,0.0774750472079849,0.0067439978419206,0.0086323172376584,0.2021561392084509,0.1273062730627306,0.560849432023732,0.0365627185683621,0.2044714564792706,75968.5,0.6630698678176423,84115,0.5484518620840382
84116,37950.0,13.17,11699.0,8031.0,3.21,0.4426874091802718,0.1628688830780724,0.1257626696550865,12340.0,324856.0,4.68,0.4971014492753623,0.061923583662714,0.0134914361001317,0.0533860342555994,0.0423978919631093,18619.0,19331.0,19638.0,18312.0,62242.0,63941.0,47475.0,54464.0,73438.0,63859.0,56808.0,66497.0,0.0874893253629376,0.1670794192997438,0.0400085397096498,0.0063620836891545,0.0066609735269,0.2358366271409749,0.1470355731225296,0.5207114624505929,0.0321387790953008,0.331699604743083,66553.5,0.692399658411614,84116,0.3935283606450739
84117,25725.0,7.11,10940.0,6649.0,2.32,0.2730347349177331,0.0443675740712889,0.0221085877575575,11620.0,723115.0,2.44,0.8690767735665695,0.0145383867832847,0.0047424684159378,0.040427599611273,0.0073080660835762,1972.0,23753.0,12274.0,13451.0,85648.0,89038.0,84615.0,50000.0,68825.0,96875.0,60259.0,87112.0,0.0686795316565481,0.3068625325238508,0.1210429314830876,0.034366869037294,0.0247181266261925,0.1677356656948493,0.1151409135082604,0.5028571428571429,0.0714220926465824,0.0639067055393586,54176.5,0.4443300086730269,84117,0.7307148049534079
84118,42503.0,8.35,11539.0,9666.0,3.68,0.5599272033971748,0.0633147113594041,0.0562797434305814,11999.0,343878.0,4.22,0.625438204362045,0.0204456156036044,0.0158577041620591,0.0358327647460179,0.0275980519022186,16981.0,25522.0,21468.0,21035.0,83156.0,85358.0,54545.0,70213.0,111170.0,100240.0,73544.0,87525.0,0.0946664581215296,0.1066317353562211,0.0255337452099788,0.0052005943536404,0.0028544615625244,0.2504293814554267,0.1478719149236524,0.518010493376938,0.0278960700813275,0.2748276592240548,80749.0,0.7651130053961054,84118,0.375302066358137
84119,54971.0,10.87,17286.0,11979.0,3.03,0.4240425778086312,0.1233825861925035,0.1029301277235161,18264.0,281699.0,4.38,0.5740481344709029,0.0368376052827854,0.0162813119644903,0.0615051572647395,0.0346728274908588,23826.0,31145.0,28603.0,26368.0,64051.0,65857.0,41051.0,66761.0,75174.0,77259.0,58806.0,67736.0,0.0859609719102762,0.1296560977744071,0.0401365108071055,0.004433684333343,0.0032085873464982,0.2287387895435775,0.1476051008713685,0.522748358225246,0.0336359171199359,0.2766549635262229,56545.5,0.7366041478283697,84119,0.31151003635385754
84120,53597.0,9.73,14940.0,12473.0,3.58,0.5171352074966533,0.0948448649082017,0.081856810711136,15479.0,363807.0,4.68,0.5678116312480176,0.0252812657424855,0.0111200253745545,0.0581562400880646,0.0501707185103643,21343.0,32254.0,26784.0,26813.0,80638.0,82980.0,64038.0,66406.0,87718.0,108712.0,70129.0,86179.0,0.0871833308349572,0.1157847399190526,0.0336381352121121,0.0052465897166841,0.0019487333233398,0.2301434781797488,0.1475269138198033,0.5126406328712428,0.0365629917097349,0.2874601190365132,66881.0,0.756198470993854,84120,0.4937729792232272
84121,43783.0,4.86,16927.0,12038.0,2.58,0.3099781414308501,0.0342249543113474,0.0205183585313174,18560.0,703056.0,2.88,0.8908023662151977,0.0112829180275449,0.0055272594385948,0.0403124500376858,0.0035401868305049,2798.0,40985.0,21585.0,22198.0,108072.0,109023.0,65625.0,65278.0,123837.0,81250.0,58468.0,110736.0,0.0666666666666666,0.3192634560906515,0.1393452943028013,0.0401322001888574,0.0258419892980799,0.1548546239407989,0.1195212753808555,0.5221432976269328,0.0678269343504708,0.0485348194504716,76112.5,0.408750393452943,84121,0.5119992735101642
84123,39887.0,7.45,14894.0,10012.0,2.67,0.3522895125553914,0.0640231721933679,0.0522373152217339,15631.0,407607.0,4.26,0.7370070449018478,0.0331185599318073,0.0110813046857372,0.0628525584776995,0.0168977361044951,7420.0,32467.0,19541.0,20346.0,71016.0,73462.0,69669.0,53289.0,79795.0,79911.0,50661.0,74443.0,0.0900723457444793,0.2033256316048634,0.0774970645051323,0.0092799515169879,0.004507405022537,0.1995136259934314,0.1385915210469576,0.5251335021435556,0.0455871169386851,0.139042795898413,44734.0,0.6153176016059998,84123,0.6897056428077997
84124,22535.0,4.47,8658.0,6037.0,2.58,0.3167013167013167,0.0438959748219314,0.0319695212854066,9099.0,707923.0,1.33,0.8851120479254493,0.0120257377412913,0.0035056578655424,0.0502329709341025,0.0033281562014643,1309.0,21226.0,10964.0,11571.0,108620.0,111820.0,41136.0,69643.0,107543.0,70000.0,72500.0,110327.0,0.0651148159798678,0.3526895250078641,0.1587291601132431,0.0520289399182132,0.0347279018559295,0.17009096960284,0.1245617927668071,0.5120923008653206,0.0644183122550107,0.0457954293321499,55221.0,0.336709657124882,84124,0.5393387149405697
84128,34237.0,18.0,8639.0,7551.0,3.96,0.6050468804259752,0.0368163157197722,0.0329757647993643,8903.0,387608.0,3.32,0.5855069077314017,0.0223442474515874,0.0124134708064374,0.0751526126705026,0.0291205421035721,13031.0,21206.0,17131.0,17106.0,94843.0,99636.0,90972.0,109000.0,93506.0,81034.0,86795.0,98529.0,0.0917575400334021,0.1306611651439237,0.0247077316042833,0.0085961292857844,0.0058944886531093,0.2563016619446797,0.1490784823436632,0.5163711773811958,0.0260828927768204,0.2754622192364985,84424.0,0.738382945279497,84128,0.3570757720712
